file,rows,subject_id,sampling_rates,label_count,labels,missing_labels,status,reason
20260619_000248_S003_trial-10_funcional_10clases_4ch_200hz.csv,16027,S003,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_000519_S004_trial-6_funcional_10clases_4ch_200hz.csv,16039,S004,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_000740_S004_trial-7_funcional_10clases_4ch_200hz.csv,16036,S004,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_000923_S004_trial-8_funcional_10clases_4ch_200hz.csv,15964,S004,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_001145_S004_trial-9_funcional_10clases_4ch_200hz.csv,15970,S004,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_001400_S004_trial-10_funcional_10clases_4ch_200hz.csv,16004,S004,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_003942_S001_trial-1_funcional_10clases_4ch_200hz.csv,16126,S001,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_004200_S001_trial-1_funcional_10clases_4ch_200hz.csv,432,S001,200,0,,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",exclude,short_file:432<12000;missing_labels:anular_menique_apertura|anular_menique_cierre|apertura|cierre|indice_medio_apertura|indice_medio_cierre|pinza|pulgar_apertura|pulgar_cierre|reposo
20260619_004209_S001_trial-7_funcional_10clases_4ch_200hz.csv,16062,S001,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_004348_S001_trial-8_funcional_10clases_4ch_200hz.csv,1179,S001,200,1,reposo,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre",exclude,short_file:1179<12000;missing_labels:anular_menique_apertura|anular_menique_cierre|apertura|cierre|indice_medio_apertura|indice_medio_cierre|pinza|pulgar_apertura|pulgar_cierre
20260619_004406_S001_trial-8_funcional_10clases_4ch_200hz.csv,16055,S001,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_004639_S001_trial-9_funcional_10clases_4ch_200hz.csv,16083,S001,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
20260619_004821_S001_trial-10_funcional_10clases_4ch_200hz.csv,16112,S001,200,10,"anular_menique_apertura,anular_menique_cierre,apertura,cierre,indice_medio_apertura,indice_medio_cierre,pinza,pulgar_apertura,pulgar_cierre,reposo",,valid,
