fold,held_out_subject,train_windows,test_windows,accuracy
1,S001,35920,12977,0.17369191646759652
2,S002,41708,7189,0.1626095423563778
3,S003,34521,14376,0.5119643850862549
4,S004,34542,14355,0.3962382445141066
